"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
"Allen, Charles L.","La SiquiatrÃ­a De Dios",1,"200 All",1992,881132802,"salmos,biblia,diez mandamientos,bienaventuranzas","Grupo Nelson (1992), Paperback, 176 pages",
"Allison, Roy","Comentario sobre los Hechos de los Apóstoles","1","226.6 All",,,"Comentario","Casa de Publicaciones "" EL Faro""",
"Altamirano, Ignacio Manuel","El zarco",1,"800 Alt",1972,"[]","literatura","MÃ©xico : Espasa-calpe , 1972.",
"Alves, A Pereira","Hojas Dispersas","1","248  Alv",,,"Vida Cristiana","Editorial La Aurora",
"Amarya, Ismael E.","La Biblia, el Libro Fascinador","2","220.61 Ama",,,,"Libros Logoi",
"Amaya, Ismael E.","EL Periodísta Evangélico","1","254.3 Ama",,,"Periodismo","Casa Nazarena de Publicaciones",
"Amaya, Ismael E.","Para Ti Padre","1","265.6 Ama",,,"Paternidad","Logoi",
"Andell, W. Roberto","Preguntas Bíblicas","1","220.62 Ade",,,"Preguntas y Respuestas Bíblicas","Casa Nazarena de Publicaciones",
"Anderson, Alejandro","Cosechas Copiosas, Tomo III","1","220.62 And",,,"Preguntas de la Biblia","Imprenta ""El Faro""",
"Anderson, Alejandro","Espigas Escogidas, Tomo II","1","252.1 And",,,"Semones","Impreta ""El Faro""",
"Anderson, J. S.","Heroes de la Italia Moderna","1","298.2 And",,,"Biografía","Ediciones Amanecer",
"Andre, Jose","David","2","257 And",,,"Personajes de la Biblia","Editorial Las Buenas Nuevas",
"Ang, GonzÃ¡lo","Libros Condensados, Biblioteca de Selecciones",1,"800 Ang",1996,"[9682802105]","literatura","MÃ©xico : Reader's Digests, 1996.",
"Angus, Joseph","Los Libros de la Biblia del Antiguo Testamento","1","221 Ang",,,"Estudio del Antiguo Testamento","CLIE",
"Anonimo","David Livingstone","1","298.6 Dav",,,"Biografía",,
"Anonymous","La Verdad Que Lleva a Vida Eterna (The Truth That Leads To Eternal Life - Spanish)","1","291 Ver","1968","[]","testigos de Jehova,sectas","Watchtower Bible And Tract Society (1968), Hardcover",
"Arana, Felix","Principales Objeciones al Trabajo de Revelación de Hechos a la Biblia Reina Valera 1960","1","220.5 Ara",,,"Versiones Modernas",,
"Araujo, Carlos","Versos Para Niños","1","800 Ara",,,"Niños","Depósito de Publicaciones Religiosas",
"Archer, Gleason L.","Reseña Crítica de Una Introducción al Antiguo Testamento","1","221 Arc",,,"Estudio del Antiguo Testamento","Publicaciones Portavoz  Evangélico",
"Arellano, Johnson","El Ministerio Ideal","1","253   Are",,,"Officio Pastoral","Publicaciones ""El Faro""",
"Arnold, Wilhelm","Orientación Profesional del Niño","1","268.4 Arn",,,"Pedagogía","Ediciones Paulina",
"Ashcraft, Tomy","Tenga Victoria sobre su Adversario el Diablo","1","248.7 Ash",,,"Discipulado","Editorial Gran Comisión",
"Asimov, Isaac","El Reino De Los Numeros","1","511 Asi","1970","[]","matematicas","UNSPECIFIED VENDOR (1970), Paperback",
"Augsburger, David","Perdonar para ser libre","1","230 Aug","1977","[0825410460]","culpa,perdon,consejeria","Editorial Portavoz (1977), Paperback, 160 pages",
"Autrey, C. E.","La Teología del Evangelismo","1","248.5 Aut",,,"Evangelismo","Casa Bautista de Publicaciones",
"Awwad, Sami","La Tierra Santa en Color","1","220.9 Aww",,,"Atlas de la Tierra Santa","Palphot Ltd.",
"Aylward, Gladys","Pequena gran mujer en la China, La: Gladys Aylward: Little Woman in China",1,"298.51 Ayl",1974,"[0825410487]","biografia","Editorial Portavoz (1974), Paperback, 160 pages",
"Baalen, J.K. Van","Invasores De La Cristiandad: Extracto Del Libro El Caos De Las Sectas","1","290 Van","1978","[]","sectas","Libros Clie (1978), Paperback, 223 pages",
"Baez Camargo, Gonzalo","Principio y Método de la Educación Cristiana","1","268 Bae",,,"Educación Cristiana","Comité Central De Educación Religiosa en la América Latina",
"Bailey, Alma H.","Paso a Paso","1","268.432 Bai",,,"Escuela Dominical para Niños",,
"Baker, Robert Andrew","Compendio de la Historia Cristiana",2,"270 Bak",2003,"[0311150322]","historia cristiana,","Casa Bautista de Publicaciones (2003), Paperback, 372 pages",
"baker, Roberto A.","Los Bautistas en la Historia","1","286 Bak",,,"Historia de los Bautistas","Casa Bautista de Publicaciones",
"Baldwin, Stan","Preguntas que Hacen las Chicas",2,"265.91 Bal",,,"Jóvenes","CLIE",
"Bancroft, Emery H.","Fundamentos de teologÍa bÍblica: Elemental Theology",4,"230 Ban",1986,825410509,"teologia biblica","Editorial Portavoz (1986), Paperback, 496 pages",
"Barchuk, Ivan","Explicacion del Libro de Apocalipsis / Book of Revelation Explained",1,"228 Bar",1993,8472281698,"apocalipsis","Editorial Clie (1993), Edition: 1st, Paperback, 397 pages",
"Barclay, William","Palabras Griegas del Nuevo Testamento",2,"220.33 Bar",2003,311420524,"referencia,griego","Casa Bautista de Publicaciones (2003), Paperback, 219 pages","5 obras"
"Barnette, J. N.","La Iglesia Usando su Escuela Dominical","1","268.43 Bar",,,"Escuela Dominical","Casa Bautista de Publicaciones","5 obras"
"Barnhouse, Donald Grey","Ofrenda Viva","1","248  Bar",,,"Vida Cristiana","Editoiral Caribe","5 obras"
"Barnhouse, Donald Grey","Vencedores!  Una Exposición de Romanos 12","1","227.1 Bar",,,"Romanos","Editorial Caribe","4 obras"
"Barrett, Ethel","Historia Biblicas Favoritas, Vol 1","1","268.4  Bar Vol I",,,"Historias Bíblicas para Niños","Editorial Vida","4 obras"
"Barrett, Ethel","Historias Biblicas para Niños Vol. 2","1","268.4  Bar  Vol. 2",,,"Historias Bíblicas para Niños","Editorial Vida","5 obras"
