"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
"Crace, James D.","Guía de Estudios sobre el Manual para Predicadores Laicos","2","251  Cra",,,"Homilética","Casa Bautista de Publicaciones",
"Crace, James D.","La Reproducción Espiritual","3","248.5 Cra",,,"Evangelismo","Casa Bautista de Publicaciones",
"Cramer, Raymond L.","La Psicología de Jesús y la salud Mental","2","258   Cra",,,"Psicología de Jesús","Editorial Caribe",
"Crane, James D.","El Sermon Eficaz","1","251 Cra","2003","031142032X","homiletica","Casa Bautista de Publicaciones (2003), Paperback, 308 pages",
"Crane, James D.","Manual Para Predicadores Laicos","2","251 Cra","1967",311420397,"homiletica","Casa Bautista de Publicaciones (1967), Paperback, 128 pages",
"Crane, Phillip","Gigantes de la Ciencia","1","298.2 Can",,,"Biografía de Científicos","Plaza y Janes, S. A.",
"Crockett, W. D.","Armonía de Samuel, Reyes y Crónicas","1","222.433 Cro",,,"Armonía de Samuel, Reyes y Crónicas","Casa Bautista de Publicaciones",
"Cruz, Fernandez","El Libro de la Salud","1","610 Cru",,,"Salud","Ediciones Danae, S.A.",
"Cruzada Estudiantil y Profesional para Cristo.","Norma de Vida: Discipulado y Evangelismo","2","248.7   Cru",,,"Manual de Capacitación","Cruzada Estudiantil y Profesional para Cristo.",
"Cuesta, Sunmer","Notas de Mensajes Escuchados; Manuel Practico para aprovechar mejor el diempo del culto",1,"220.61 Cue",2003,,,"Sunmer Cuesta, 2003",
"Dabold, F. V.","El Misterio de la Iniquidad","1","248.5 Dab",,,"Evangelismo","Publicaciones Portavoz  Evangélico",
"Dahlberg, Edwin T.","Libro del Avivamiento","1","255 Dah",,,"Avivamiento","Conveción Bautistadel Norte",
"Dahlquist, Anna Marie","Fiel al Llamado Divino","1","298.8 Dal",,,"Biografía","Publicaciones La Biblia Dice",
"Dana, H. E.","El Mundo del Nuevo Testamento","1","225 Dan","1982",311043429,"referencia,nuevo testamento,tiempos biblicos","Casa Bautista de Publicaciones (1982), Paperback, 288 pages",
"Dana, H.E.","El Nuevo Testamento ante la Crítica","1","220.6 Dan",,,"Criticismo del Nuevo Testamento","Casa Bautista de Publicaciones",
"Dargan, Edwin Charles","La Biblia Nuestra Herencia",6,"220 Dar",,,"Biblia","Casa Bautista de Publicaciones","donado por Tap Y Katie Hornor, 2008"
"Dario, Rubén","Cantos de Vida y Esperanza",1,"800 Dar",1998,"[968150089X]","poesía","Editores Mexicanos Unidos (1998), Paperback",
"Davis, Guillermo Hersey","Gramatica Elemental del Griego del Nuevo Testamento",2,"220.33 Dav",2003,311420087,"griego,referencia","Casa Bautista de Publicaciones (2003), Paperback, 240 pages","donado por Tap Y Katie Hornor, 2008"
"De Aquino, Santo Tomas","Suma Teologica",1,"210 Aqu",,,"Filosofia Catolica, Teologia Catolica","Espasa-Calpe Mexicana, S.A.",
"De Chaves, Ottilia O.","El Arte de Narrar","1","465.3 Cha",,,"Narración","Editorial ""La Aurora""",
"De Derios, Norma H. C.","Dramatizaciones Infantiles para Días Especiales","1","268.9  Dei",,,"Dramas para Niños","Casa Bautista de Publicaciones",
"De Emde, Juanita","Caminando con Dios","1","298.46 Emd",,,"Biografía","Clie",
"de Ferrieres, J. C.","Mas puro que el diamante: Purer Than a Diamond",2,"265.3 Fer",1963,825412277,"pureza,relaciones","Editorial Portavoz (1963), Paperback, 80 pages",
"De Hann, M. R.","Religión O Cristo?","1","248.5 Han",,,"Evangelismo","Ediciones las Américas",
"De Leon, Jose M.","Porqué Abrace el Scerdocio y porque lo Deje","1","298.1 Leó",,,"Catolicismo Biografía","Librería ""La Cruzada""",
"De Molina, Sara Pais","Santificando el Día del Señor","1","263.1 Mol",,,"Día del Señor","Casa Bautista de Publicaciones",
"De Patterson, Paulina G.","Santa Biblia para Mi","1","268.462 Pat",,,"Actividades para Niños","Casa Bautista de Publicaciones",
"De Savage, Mary C.","Historia y Composición del Nuevo Testamento","1","220.9 Sav",,,"Historia del Nuevo Testamento","Instituto Práctico Ebenezer",
"de Walker, Luisa Jeter","Evangelismo DinÃ¡mico",1,"253.5 Wal",1984,829709509,"evangelismo","Vida (1984), Edition: Spanish, Paperback, 288 pages",
"De White, Elena G.","El Discurso Maestro de Jesucristo","1","232.951  Whi",,,"Enseñanza de Jesús","Ediciones Interamericanas",
"De Zamacois, Niceto","Historia de Méjico, Tomo 1","1","972 Zam Vol. 1",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 10","1","972 Zam Vol. 10",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 10 Bis","1","972 Zam Vol. 10 Bis",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 11","1","972 Zam Vol. 11",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 12","1","972 Zam Vol. 12",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 13","1","972 Zam Vol. 13",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 14","1","972 Zam Vol. 14",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 16","1","972 Zam Vol. 16",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 18","2","972  Zam Vol. 18",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 18 Bis","1","972   Zam Vol. 18  Bis",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 2","1","972 Zam Vol. 2",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 3","1","972 Zam Vol. 3",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 4","1","972 Zam Vol. 4",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 5","1","972 Zam Vol. 5",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 6","1","972 Zam Vol. 6",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 7","1","972 Zam Vol. 7",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 8","1","972 Zam Vol. 8",,,"Historia de México","J. F. Parres y Compa, Editores",
"De Zamacois, Niceto","Historia de Méjico, Tomo 9","1","972 Zam Vol. 9",,,"Historia de México","J. F. Parres y Compa, Editores",
"Deane, Guillermo J.","Abraham","1","257 Dea",,,"Abraham","Casa Bautista de Publicaciones",
"DeHaan, Richard W.","El Culto a Satanás","1","293 DeH",,,"Sectas","Editorial Caribe",
"DeLoach, Charles","Semillas del Conflicto","1","298.56 DeL",,,"Biografía","Editorial Vida",
"DeMoss, Nancy Leigh","Mentiras que las mujeres creen y la verdad que las hace libres: Lies Women Believe and the Truth That Sets Them Free","1","248.84 DeM","2004","[0825411602]","Mujeres,depression,consejeria","Editorial Portavoz (2004), Paperback, 256 pages",
"Denevi","Rosaura a las diez","1","860 Den","1964","[0137832346]","literatura","Prentice Hall (1964), Paperback, 219 pages",
"Denyer, C. P.","Concordancia exhaustiva de las Sagradas Escrituras","5","200 Den","1978",899220045,"referencia,concordancia bíblica","Grupo Nelson (1978), Hardcover, 936 pages",
"Deursen, T. Van","El Espíritu del Pentecostés","1","288 Deu",,,"Movimiento Pentecostes","Asociación Cultural de Estudios de la Literatura Reformada",
"Deyneka, Anita","Misión Secreta de Alexis","1","298.57 Dey",,,"Biografía","Editorial Betania",
"Deyneka, Anita","Tanya y el Guarda Fronterizo","1","298.57 Dey",,,"Biografía","Editorial Betania",
"Di Pardo, Jose M.","Tratado de ""Historia Eclesiástica""","1","281 Par",,,"Historia de la Iglesia","A.L.E.R.T.A",
"Diaz, Jorge E.","Guía de Estudios sobre: Doctrina Cristiana","1","230   Dia",,,"Doctrina Cristiana","Casa Bautista de Publicaciones",
"DiCamillo, Kate","Despereaux",1,"fic DiC",2004,"[8427950047]","ficcion,ninos","Lectorum Publications (2004), Hardcover",
"Dillow, Linda","La Esposa Virtuosa","1","265.7 Dil","1992",881130648,"maternidad,esposa,mujeres,","Grupo Nelson (1992), Paperback, 160 pages",
"Dobbins, G. S.","Aprenda a Ser Líder",2,"256 Dob",1988,311170137,"lider, liderazgo,","Casa Bautista de Publicaciones (1988), Paperback, 126 pages",
"Dobson, James","Todo sobre el Amor","1","265.5 Dob",,,"Amor","CLIE",
"Dobson, James","Todo sobre la Culpa","1","269.1 Dob","1976",,"Culpa","CLIE",
"Dobson, James","Todo Sobre La Ira: Dr. Dobson Talks About Anger",2,"269.1 Dob",1976,,"ira,enojo,consejeria",,
"Dobson, James","Todo Sobre la Voluntad de Dios","1","269.4 Dob",,,"Dirección Divina","CLIE",
"Dobson, James C.","Atrévete a Disciplinar (Nueva Edición)",2,"265 Dob",1993,829719504,"familia, hijos, disciplina,","Vida (1993), Edition: Spanish, Paperback, 238 pages",
"Dobson, James C.","Emociones ¿Se Puede Confiar En Ellas?","1","248 Dob","1982","[1591854946]","emociones,consejeria","Casa Creacion (2005), Paperback, 142 pages",
"Dobson, James C.","Enciclopedia De Problemas Familiares: Dr. Dobson Answers Your Questions","1","265.8 Dob","1995",8472287831,"familia","Editorial Clie (1995), Hardcover","donado por Tap Y Katie Hornor, 2008"
"Dobson, James C.","Preparémonos para la adolescencia","1","265.91 Dob","1992",881132535,"familia,jovenes,","Grupo Nelson (1992), Paperback, 184 pages",
"Drakeford, John W.","Hechos el Uno para el Otro","1","265.3 Dra",,,"Pureza","Editorial Mundo Hispano",
"Drakeford, John W.","Siete Necesidades Basicas del Nino / Seven Things Children Need","2","268.4 Dre","1983",311460852,"educacion cristiana,hijos,familia,","Casa Bautista de Publicaciones (1983), Paperback, 128 pages",
"Du Bois, Lauriston J.","Vocaciones para el Creyente","1","269.4 Boi",,,"Dirección Divina","Casa Nazarena de Publicaciones",
"Duarte, Conrado Zuckermann","De Uniforme de Blanco: Vida entre Enfermos","1","610   Dua",,,"Lo que ve, siente y piensa un cirujano","Espasa-Calpe Argentina, S. A.",
"Duncan, Homer","Prepárese para la Segunda Venida del Señor Jesucristo","1","248 Dun",,,"Vida Cristiana","Ediciones las Américas",
"Dunnett, W. M.","Sintesis del Nuevo Testamento","1","225 Dun",,,"Síntesis del Nuevo Testamento","Editorial Caribe",
"Durand, S. Marie","Iniciación a la Vida de Niños y Adolescentes","1","268.4 Dur",,,"Pedagogía","Ediciones Paulina",
"Dyer, Charles H.","Babilonia Renace",1,"220.15 Dye",1991,1560630825,"profecia bíblica","Editorial Unlimited (1991), Paperback, 236 pages",
"Edersheim, Alfred","La Vida y los Tiempos de Jesús el Mesías, Tomo I","1","232 Ede  Vol. 1",,,"Cristo","Clie",
"Edersheim, Alfred","Usos Y Costumbres De Los Judíos En Los Tiempos De Cristo",1,"220.9 Ede",1990,8476453868,"tiempos bíblicos",,
"Edge, Findley B.","Pedagogía Fructífera, Edición Actualizada y Ampliada","2","268  Edg",,,"Educación Cristiana","Casa Bautista de Publicaciones",
"Editorial, Equipo","Curso De Inglés Basico","1","301 Edi","1990","[8486732689]","texto,ingles","Cultural Sa De Ediciones (2002), Edition: Pap/Cas, Paperback, 224 pages",
"Eiselen, Federico Carlos","Comentario Bíblico de Abingdon","1","220.7 Eis",,,"Comentario de la Biblia","La Aurora",
"Elliot, Elizabeth","Pasión Y Pureza","1","265.3 Eli","1995",881130621,"pureza,relaciones,novios,","Grupo Nelson (1995), Paperback, 206 pages",
"Engelmann, L. O.","Defensa, Tomo I, El Anticristo Moderno","2","239 Eng Vol. 1",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo II, Emanuel Dios con Nosotros","6","239 Eng Vol. 2",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo IX, El Reino de los Cielos","1","239 Eng Vol. 9",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo V, Ecumenismo","2","239 Eng Vol. 5",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo VII, Declaración de Fe Personal","5","239 Eng Vol. 7",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo VIII, La Solución de Nuestros Problemas","5","239 Eng Vol. 8",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo X, La Diferencia entre los Cristianos y los Modernistas","1","239 Eng Vol. 10",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XI, El Evangelismo Personal","21","239 Eng Vol. 11",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XIII, El Pecado","2","239 Eng Vol. 13",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XIV, Ekklesia-La Iglesia","5","239 Eng Vol. 14",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XV, Quiénes son los Bautistas","5","239 Eng Vol. 15",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XVI, La Evolución","4","239 Eng Vol. 16",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XX, Guardando Limpia Nuestra Labor con Cristo","5","239 Eng Vol. 20",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XXI, Cristo en el Antiguo Testamento","1","239 Eng Vol. 21",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Defensa, Tomo XXII, Santidad","7","239 Eng Vol. 22",,,"Apología sobre Diversos Temas","Editorial Jose M. Cajica Jr., S. A.",
"Engelmann, L. O.","Honrando el Diaconado","1","262.3  Eng",,,"Organización de Iglesia","Editorial José M. Cajica",
"Engelmann, L. O.","Introducción Sencilla a Daniel",3,"224.5 Eng",,,"Daniel","Editorial Cajica",
"Engelmann, L. O.","Introducción Sencilla al Apocalipsis","3","228 Eng",,,"Apocalipsis","Editorial Cajica",
"Engelmann, L. O.","Predicando Hebreos","2","227.87 Eng",,,"Hebreos","Editorial Cajica",
"Engstrom, Ted","Cómo aprovechar el tiempo: ¡No se deje manejar por el tiempo!","1","248.6 Eng","2007",829751327,"tiempo, mayordomía","Zondervan (2007), Paperback, 160 pages",
"Engstrom, Ted","Desafío del liderazgo: su don de administración, y cómo usarlo",2,"256 Eng",1986,881130583,"lider,liderazgo","Editorial Betania (1986), Edition: 1st., Paperback, 128 pages",
"Epp, Theodore H.","Matrimonio y Divorcio","1","265.5 Epp",,,"Matrimonio","Publicación la Biblia Dice",
"Epp, Theodore H.","Romanos, Vol. 2, Viviendo por la Fe","1","227.1 Epp Vol. 2",,,"Romanos","Publicación la Biblia Dice",
"Erdman, Carlos","El Apocalipsis","2","228  Erd",,,"Apocalipsis","Tell",
"Erdman, Carlos","El Evangelio de Juan",2,"226.5 Erd",,,"Juan","Tell",
"Erdman, Carlos","El Evangelio de Lucas","2","226.4 Erd",,,"Lucas","Tell",
"Erdman, Carlos","El Evangelio de Marcos",2,"226.3 Erd",,,"Marcos","Tell",
"Erdman, Carlos","El Evangelio de Mateo",2,"226.2 Erd",,,"Mateo","Tell",
"Erdman, Carlos","El Pentateuco","1","222.1 Erd",,,"Pentateuco","Tell",
"Erdman, Carlos","Hechos de los Apóstoles","2","226.6 Erd",,,"Hechos","Tell",
"Erdman, Carlos","La Epístola a los Efesios",2,"227.5 Erd",,,"Efesios","Tell",
"Erdman, Carlos","La Epístola a los Gálatas","2","227.4 Erd",,,"Gálatas","Tell",
"Erdman, Carlos","La Epístola a los Hebreos","2","227.87 Erd",,,"Hebreos","Tell",
"Erdman, Carlos","La Primera Epístola de Pablo a los Corintios","2","227.2 Erd",,,"1 de Corintios","Tell",
"Erdman, Carlos","La Primera y La Segunda Epístola a los Tesalonicenses","1","227.81 Erd",,,"1 y 2 de Tesalonicenses","Tell",
"Erdman, Carlos","La Segunda Epístola de Pablo a los Corintios","2","227.3 Erd",,,"2 de Corintios","Tell",
"Erdman, Carlos","Las Epístolas a los Colosenses y A Filemón","2","227.8 Erd",,,"Colosenses y Filemón","Tell",
"Erdman, Carlos","Las Epístolas Pastorales a Timoteo y a Tito","2","227.833  Erd",,,"1 y 2 Timoteo y Tito","Tell",
"Erdman, Carlos R.","La Epistola a Los Filipenses","2","227.6 Erd","1994",939125269,"filipenses","T.E.L.L. (1994), Paperback",
"Erdman, Carlos R.","La Epistola A Los Romanos","2","227.1 Erd","1993",939125218,"romanos","T.E.L.L. (1993), Paperback",
"Erdman, Carlos R.","Las Epistolas Generales: Santiago, L y II Pedro, I, II, III Juan, Judeg","1","227.9 Erd","1986",939125315,"pedro,juan,judas","CRC World Literature Ministries/Libros Desafi (1986), Paperback, 194 pages",
"Escobar, Samuel","Irrupción juvenil","1","625.91 Esc","1977",,"familia,jovenes","Editorial Caribe (1977), Edition: 1st., Paperback, 96 pages",
"Espinoza T., Hector","Cómo Estudiar la Biblia","1","220.61 Esp",,,"Método de Estudio Bíblico","Editorial El Camino",
"Estrada Cuesta, Leobardo","Cómo te llamas y otros Sermones","1","252   Est",,,"Sermones","Casa Bautista de Publicaciones",
"Evans, Newton","El Nuevo Médico de la Familia","1","610 Eva",,,"Medicina Preventiva","Pacific Press Publishing Association",
"Evans, William","Grandes doctrinas de la Biblia","5","230 Eva","1974",825412226,"teologia","Editorial Portavoz (1974), Paperback, 256 pages",
"Fabricio, Al","Los Hijos - ¿Alegría o Alboroto?","1","265.9 Fab",,,"Creciendo Niños","DIME",
"Fairbarn, Patric","La Profecia, Su Naturaleza, Funcion e Interpretacion",1,"220.15 Fai",,,"Profecia","Clie",
"Farris, Michael P.","El Padre que Educa en el Hogar: Cómo puedes túy Jugar un papel decisivo para el éxito de tu Hijo.","1","268.1   Far",,,"Educación Familiar Cristiana","El Hogar Educador",
"Farris, Michael P.","El Padre y sus Hijas.. Preparación para la Vida.","1","268.1  Far",,,"Educación Familiar Cristiana","El Hogar Educador",
"Fernandez de la Torriente, Gaston","Enciclopedia Práctica de la Lengua","1","465.3 Fer",,,"Comunicación Oral","Editorial Cumbre, S.A.",
"Fernandez Suarez, Domingo","Los Falsos Testigos de Jehová","1","291  Fer",,,"Testigos de Jehová","Casa Bautista de Publicaciones",
"Fernandez Suarez, Domingo","Para Ti que Dudas","1","239  Fer",,,"Apología","Logoi",
"Fernandez Suarez, Domingo","Porqué Guardamos el Domingo?","2","239  Fer",,,"Apología","Casa Bautista de Publicaciones",
"Fernandez Suarez, Domingo","Una Interpretación del Apocalipsis","1","228 Fer",,,"Apocalipsis","Casa Bautista de Publicaciones",
"Fernandez, Domingo","Para Ti que Sufres","1","269.1 Fer",,,"Sufrimiento","Publicaciones Juventud",
"Fernández, Domingo","Carta Abierta a un Católico","1","282   Fer",,,"Catolicismo","Editorial Verdad",
"Filson, Wright","Atlas Histórico Westminster De LA Biblia","2","220.9 Wri","1981",311150306,"referencia, atlas bíblico","Casa Bautista de Publicaciones (1981), Hardcover, 134 pages",
"Fisher, Jorge P.","Historia de la Reforma","1","271  Fis",,,"Reforma","Casa de Publicaciones "" EL Faro""",
"Fisher, Jorge P.","Historia de la Reformación","1","271  Fis",,,"Historia de la Reformación","Sociedad Americana de Tratados",
"Fitzwater, Perry","La mujer: su misión, posición y ministerio",2,"220 Fit",1972,825412331,"mujeres,esposa,maternidad","Editorial Portavoz (1972), Paperback, 80 pages",
"Fletcher, Jesse C.","Guillermo Wallace de la China","2","298.51 Fle",,,"Biografía","Casa Bautista de Publicaciones",
"Flores, Evelina V.","El Yugo de los Infieles",1,"Fic Flo",1965,"[031137008X]","negocio,relaciones,vida cristiana","Casa Bautista de Publicaciones (1965), Paperback, 116 pages",
"Flores, Jose","Conozca la Biblia","2","220 Flo",,,"Biblia","Editorial Verdad",
"Flores, Jose","Historia de la Biblia en Espana","2","274.46 Flo","1978","[8472283992]","historia cristiana,biblia","Clie (1978), Unknown Binding, 316 pages",
"Flores, Jose","Que es la Biblia?",3,"220 Flo",,,"Biblia","Alturas",
"Folk, Edgar Estes","Principios Bautistas","1","286  Fol",,,"Iglesia Bautista","Casa Bautista de Publicaciones",
"Ford, Leroy","Ayudas Visuales Cómo Realizarlas","1","268.4 For",,,"Ayudas Visuales","Casa Bautista de Publicaciones",
"Ford, Leroy","La Confianza en la Enseñanza","1","268.4 For",,,"Enseñanza","Casa Bautista de Publicaciones",
"Fountain, Thomas E.","Claves de Interpretación Bíblica","5","220.6 Fou","2003",311036538,"hermenéutica","Casa Bautista de Publicaciones (2003), Paperback, 192 pages",
"Fox, John","Libro de los Martires de Fox",1,"272.4 Fox",1999,"[8482673505]","persecucion,historia de la iglesia,historia cristiana","Editorial Clie (1999), Paperback",
"Francisco, C. T.","Introduccion Al Antiguo Testamento","3","221 Fra","2003",311040101,"estudio biblico,antiguo testamento","Casa Bautista de Publicaciones (2003), Paperback, 352 pages",
"Franz, F. W.","El Hombre En Busca De Dios","1","291 Fra","1990","[]","testigos de Jehova,sectas","Watchtower Bible & Tract (1990), Paperback",
"Freeman, Hobart E.","Nahum, Sofonías, Habacuc: Profetas menores del Siglo VII","1","224.9 Fre",,,"Nahum, Sofonias y Habacuc","Publicaciones Portavoz  Evangélico",
"Fremont, Walter","Fórmula para la Unidad Familiar","6","265.8 Fre",,,"Familia","CLIE",
"Friederichsen, Kay","Profundas verdades de la Biblia, Las: God's Word Made Plain","1","220.61 Fri","1958","082541248X","estudio biblico","Editorial Portavoz (1958), Paperback, 256 pages",
"Friesen, James G.","El Modelo de Vida","1","248  Fri",,,"Experiencia Cristina y Vida cristiana","Desarrollo Cristiano Internacional",
"Frodsham, Stanley Howard","LaVida de Gozo","1","220.61 Fro",,,"Estudios Bíblicos","Casa Evangélica de Publicaciones",
"Ganright, D. M.","EL Adventismo del Séptimo Día",3,"290 Can",,,"Adventistas","Casa Bautista de Publicaciones",
"Garcia Iazbalceta, Joaquin","Nuestra Señora de Guadalupe","1","282.72 Gar",,,"Catolicismo","Editorial Verdad",
"Garcia, Ismael Mauro","Estudios Bíblicos/Ayuda en el Estudio Topical","1","220.61 Gar",,,"Estudios Bíblicos por Temas","Imprenta Editorial ""Nueva Educación""",
"Garcia, Jonas","Estudio Sistemático de las Escrituras","1","220.61 Gar",,," Estudio Bíblico Sistemático","Casa Bautista de Publicaciones",
"Garciadiego, Javier","Introduccion Historica a La Revolucion Mexicana","1","900 Gar","2006","[9709765167]","historia,Mexico","SEP (2006), Edition: 1st, Paperback, 128 pages",
"Gardiner, George E.","La catastrofe de Corinto","1","220 Gar","1976","[0825412544]","carismaticos,sectas,","Editorial Portavoz (1976), Edition: 3, Paperback, 64 pages",
"Garlick, Rolando","Los Zapatos Rojos","6","243 Gar",,,"Escritos Evangelísticos para testificar","La Espada",
"Garrido, P. N. Tablante","Itálicas en los Nuevos Testamentos","1","220.5 Gar",,,"Versiones Modernas","Condordia Públishing House",
"Gaspar, Dionicio Castillo","Cuentos sobreviviendo",1,"860 Cas",2000,"[9709264206]","literatura","Edicion del Autor (2000), Edition: 1. ed, Unknown Binding, 95 pages",
"Gates, K. M.","Estudio Sobre el Libro de Amos","1","224.8 Gat",,,"Amós","Casa Bautista de Publicaciones",
"Gaussen, L.","Cómo se Hizo el Mundo","1","213 Gau",,,"Ciencia","Flor Alta",
"Génesis, Libro Del","Así Comenzó Libro Del Génesis","1","220.4 Así","1970",,"génesis, Biblia","versión popular (1970), Paperback",
"George, Calvin","La Historia de la Biblia Reina-Valera 1960",1,"270 Geo",2005,"[0977746917]","historia cristiana,biblia","Morris Publishing (2005), Edition: 1st, Paperback, 138 pages","donado por Tap Y Katie Hornor, 2008"
"George, Elizabeth","Una Mujer Conforme Al Corazon De Dios","2","248 Geo","2001","[0789909340]","mujeres,devos","Editorial Unilit (2001), Paperback",
"Getz, Gene A.","Dimensiones del Matrimonio","1","265.5 Get","1982",829711597,"matrimonio,esposo,esposa,familia","Vida Publishers (1982), Mass Market Paperback, 160 pages",
"Giles, J. E.","Bases Bíblicos de la Ética","1","261.9 Gil",,,"Ética Moral","Casa Bautista de Publicaciones",
"Gillis, C. O.","Comentario sobre Las Epístolas a los Hebreos","1","227.87 Gil",,,"Hebreos","Casa Bautista de Publicaciones",
"Girdlestone","Sinonimos del Antiguo Testamento","1","221 Gir","1999","847645144X","antiguo testamento","Editorial Clie (1999), Paperback",
"given, not","dialogando con Dios(Libro de los Salmos en version popular)","1","220.4 Dia","1973",,"salmos,biblia","SOCIEDADES BIBLICAS UNIDAS (1973), Paperback",
"Givves, Lucas T.","Compendio de la Historia General","1","900   Gib",,,"Historia","Librería Hachette",
"Glover, Robert Hall","Progreso de las Misiones Cristianas","3","266 Glo",,,"Misiones","Casa Bautista de Publicaciones",
"Godwin, David E.","Metodos para fundar iglesias: Un manual internacional de campanÌƒas para fundar iglesias","1","262 God","1987",829705104,"iglesia,plantar iglesias","Editorial Vida (1987), Paperback, 173 pages",
"Gonzalez Pena, Luis","Preguntas a la Evolucion","1","213 Gon",,,"Creacion","Logoi",
"Gonzalez, Justo, L.","Historia del Cristianismo, Tomo I","2","270 Gon      Vol.1",,,"Historia del Cristianismo","Editorial Unilit",
"Gonzalez, Justo, L.","Historia del Cristianismo, Tomo II","2","270 Gon      Vol.2",,,"Historia del Cristianismo","Editorial Unilit",
"Gooding, David","Segun San Juan en la Escuela de Cristo","1","226.5 Goo",,,"evangelios, Juan","Clie",
"Goodspeed, Edgar J.","Introducción al Nuevo Testamento","1","225 Goo",,,"Introducción al Nuevo Testamento","Editorial ""La Aurora""",
"Gower, Ralph","Nuevo manual de usos y costumbres de los tiempos biblicos: New Manners and Customs of Bible Times","2","221 Gow","1990",825412803,"tiempos biblicos","Editorial Portavoz (1990), Paperback, 400 pages",
"Grabmann, Martin","La filosofía de la cultura de Santo Tomás de Aquino","1","210 Gra","1942",,"filosofia catolica","Buenos Aires : C.E.P.A. , 1942",
"Graham, Billy","El Secreto De La Felicidad/Secret of Happiness","1","248 Gra","1987",311461085,"vida cristiana","Casa Bautista de Publicaciones (1987), Edition: Rev Enl, Paperback, 178 pages",
"Graham, Billy","La Generación de Jesús","1","288 Gra",,,"Movimiento Carismático","Editorial Vida",
"Graham, Billy","La Vida Feliz","1","243 Gra",,,"Escritos Evangelísticos para Testificar","Asociación Evangelística Billy Graham",
"Graham, Billy","Los Angeles: Agentes Secretos de Dios","1","235.3 Gra","1976",,"angeles","Editorial Caribe (1976), Paperback, 186 pages",
"Graham, Billy","Mi Respuesta de la Felicidad","1","284 Gra 1960",,,"Vida Cristiana","Editorial Moody",
"Graham, Billy","Paz con Dios","1","248.5 Gra 1953",,,"Evangelismo","Editorial Moody",
"Graham, Billy","Si Buscas a Dios","1","248.5 Gra",,,"Evangelismo","Libros Logoi",
